claim_id,category,market,amount,currency,gold_label,gold_policy_clause
CLM-0000,meals,UK,33.81,GBP,green,§3.1 Meals — UK solo cap GBP 40
CLM-0001,travel,US,1058.12,USD,green,§3.2 Travel — US long-haul economy cap USD 1200
CLM-0002,accommodation,DE,182.09,EUR,green,§3.3 Accommodation — DE Tier 1 cap EUR 240
CLM-0003,entertainment,IN,17096.0,INR,green,§3.4 Entertainment — IN per-head cap INR 5500
CLM-0004,miscellaneous,UK,897.75,GBP,green,§3.5 Miscellaneous — UK conference/training cap GBP 1500
CLM-0005,meals,US,38.03,USD,green,§3.1 Meals — US solo cap USD 50
CLM-0006,travel,DE,567.44,EUR,green,§3.2 Travel — DE long-haul economy cap EUR 950
CLM-0007,accommodation,IN,16217.0,INR,amber,§3.3 Accommodation — IN Tier 1 cap INR 16000 (110% boundary)
CLM-0008,entertainment,UK,459.0,GBP,amber,§3.4 Entertainment — UK per-head cap GBP 110 (110% boundary)
CLM-0009,miscellaneous,US,2868.99,USD,red,§3.5 Miscellaneous — US conference cap USD 2000 (above 110%)
CLM-0010,meals,DE,26.43,EUR,green,§3.1 Meals — DE solo cap EUR 45
CLM-0011,travel,IN,37426.0,INR,green,§3.2 Travel — IN long-haul economy cap INR 60000
CLM-0012,accommodation,UK,246.34,GBP,green,§3.3 Accommodation — UK Tier 1 cap GBP 280
CLM-0013,entertainment,US,385.88,USD,green,§3.4 Entertainment — US per-head cap USD 130
CLM-0014,miscellaneous,DE,1449.22,EUR,green,§3.5 Miscellaneous — DE conference/training cap EUR 1600
CLM-0015,meals,IN,1691.0,INR,green,§3.1 Meals — IN solo cap INR 2500
CLM-0016,travel,UK,510.81,GBP,green,§3.2 Travel — UK long-haul economy cap GBP 900
CLM-0017,accommodation,US,408.41,USD,amber,§3.3 Accommodation — US Tier 1 cap USD 380 (110% boundary)
CLM-0018,entertainment,DE,217.86,EUR,amber,§3.4 Entertainment — DE per-head cap EUR 100 (110% boundary)
CLM-0019,miscellaneous,IN,100144.0,INR,red,§3.5 Miscellaneous — IN conference cap INR 80000 (above 110%)
CLM-0020,meals,UK,22.69,GBP,green,§3.1 Meals — UK solo cap GBP 40
CLM-0021,travel,US,719.61,USD,green,§3.2 Travel — US long-haul economy cap USD 1200
CLM-0022,accommodation,DE,213.33,EUR,green,§3.3 Accommodation — DE Tier 1 cap EUR 240
CLM-0023,entertainment,IN,7072.0,INR,green,§3.4 Entertainment — IN per-head cap INR 5500
CLM-0024,miscellaneous,UK,895.06,GBP,green,§3.5 Miscellaneous — UK conference/training cap GBP 1500
CLM-0025,meals,US,44.6,USD,green,§3.1 Meals — US solo cap USD 50
CLM-0026,travel,DE,672.62,EUR,green,§3.2 Travel — DE long-haul economy cap EUR 950
CLM-0027,accommodation,IN,17317.0,INR,amber,§3.3 Accommodation — IN Tier 1 cap INR 16000 (110% boundary)
CLM-0028,entertainment,UK,443.92,GBP,amber,§3.4 Entertainment — UK per-head cap GBP 110 (110% boundary)
CLM-0029,miscellaneous,US,2652.39,USD,red,§3.5 Miscellaneous — US conference cap USD 2000 (above 110%)
CLM-0030,meals,DE,39.32,EUR,green,§3.1 Meals — DE solo cap EUR 45
CLM-0031,travel,IN,36010.0,INR,green,§3.2 Travel — IN long-haul economy cap INR 60000
CLM-0032,accommodation,UK,225.32,GBP,green,§3.3 Accommodation — UK Tier 1 cap GBP 280
CLM-0033,entertainment,US,184.86,USD,green,§3.4 Entertainment — US per-head cap USD 130
CLM-0034,miscellaneous,DE,1072.98,EUR,green,§3.5 Miscellaneous — DE conference/training cap EUR 1600
CLM-0035,meals,IN,1759.0,INR,green,§3.1 Meals — IN solo cap INR 2500
CLM-0036,travel,UK,739.33,GBP,green,§3.2 Travel — UK long-haul economy cap GBP 900
CLM-0037,accommodation,US,412.99,USD,amber,§3.3 Accommodation — US Tier 1 cap USD 380 (110% boundary)
CLM-0038,entertainment,DE,214.86,EUR,amber,§3.4 Entertainment — DE per-head cap EUR 100 (110% boundary)
CLM-0039,miscellaneous,IN,115062.0,INR,red,§3.5 Miscellaneous — IN conference cap INR 80000 (above 110%)
CLM-0040,meals,UK,32.68,GBP,green,§3.1 Meals — UK solo cap GBP 40
CLM-0041,travel,US,980.08,USD,green,§3.2 Travel — US long-haul economy cap USD 1200
CLM-0042,accommodation,DE,217.02,EUR,green,§3.3 Accommodation — DE Tier 1 cap EUR 240
CLM-0043,entertainment,IN,7515.0,INR,green,§3.4 Entertainment — IN per-head cap INR 5500
CLM-0044,miscellaneous,UK,911.86,GBP,green,§3.5 Miscellaneous — UK conference/training cap GBP 1500
CLM-0045,meals,US,44.27,USD,green,§3.1 Meals — US solo cap USD 50
CLM-0046,travel,DE,630.87,EUR,green,§3.2 Travel — DE long-haul economy cap EUR 950
CLM-0047,accommodation,IN,17575.0,INR,amber,§3.3 Accommodation — IN Tier 1 cap INR 16000 (110% boundary)
CLM-0048,entertainment,UK,474.28,GBP,amber,§3.4 Entertainment — UK per-head cap GBP 110 (110% boundary)
CLM-0049,miscellaneous,US,2390.31,USD,red,§3.5 Miscellaneous — US conference cap USD 2000 (above 110%)
CLM-0050,meals,DE,25.35,EUR,green,§3.1 Meals — DE solo cap EUR 45
CLM-0051,travel,IN,44693.0,INR,green,§3.2 Travel — IN long-haul economy cap INR 60000
CLM-0052,accommodation,UK,179.93,GBP,green,§3.3 Accommodation — UK Tier 1 cap GBP 280
CLM-0053,entertainment,US,173.79,USD,green,§3.4 Entertainment — US per-head cap USD 130
CLM-0054,miscellaneous,DE,943.06,EUR,green,§3.5 Miscellaneous — DE conference/training cap EUR 1600
CLM-0055,meals,IN,1836.0,INR,green,§3.1 Meals — IN solo cap INR 2500
CLM-0056,travel,UK,515.74,GBP,green,§3.2 Travel — UK long-haul economy cap GBP 900
CLM-0057,accommodation,US,390.86,USD,amber,§3.3 Accommodation — US Tier 1 cap USD 380 (110% boundary)
CLM-0058,entertainment,DE,432.9,EUR,amber,§3.4 Entertainment — DE per-head cap EUR 100 (110% boundary)
CLM-0059,miscellaneous,IN,94439.0,INR,red,§3.5 Miscellaneous — IN conference cap INR 80000 (above 110%)
CLM-0060,meals,UK,35.98,GBP,green,§3.1 Meals — UK solo cap GBP 40
CLM-0061,travel,US,899.39,USD,green,§3.2 Travel — US long-haul economy cap USD 1200
CLM-0062,accommodation,DE,182.24,EUR,green,§3.3 Accommodation — DE Tier 1 cap EUR 240
CLM-0063,entertainment,IN,8838.0,INR,green,§3.4 Entertainment — IN per-head cap INR 5500
CLM-0064,miscellaneous,UK,775.18,GBP,green,§3.5 Miscellaneous — UK conference/training cap GBP 1500
CLM-0065,meals,US,35.22,USD,green,§3.1 Meals — US solo cap USD 50
CLM-0066,travel,DE,803.39,EUR,green,§3.2 Travel — DE long-haul economy cap EUR 950
CLM-0067,accommodation,IN,17404.0,INR,amber,§3.3 Accommodation — IN Tier 1 cap INR 16000 (110% boundary)
CLM-0068,entertainment,UK,351.2,GBP,amber,§3.4 Entertainment — UK per-head cap GBP 110 (110% boundary)
CLM-0069,miscellaneous,US,2874.65,USD,red,§3.5 Miscellaneous — US conference cap USD 2000 (above 110%)
CLM-0070,meals,DE,25.69,EUR,green,§3.1 Meals — DE solo cap EUR 45
