candidate_id,role,jurisdiction,rtw_evidence
C-SE-USA-00,senior-data-engineer,USA,us_citizen
C-SE-USA-01,senior-data-engineer,USA,green_card
C-SE-USA-02,senior-data-engineer,USA,h1b
C-SE-USA-03,senior-data-engineer,USA,us_citizen
C-SE-USA-04,senior-data-engineer,USA,unknown
C-SE-DE-00,senior-data-engineer,DE,eu_citizen
C-SE-DE-01,senior-data-engineer,DE,blue_card
C-SE-DE-02,senior-data-engineer,DE,eu_citizen
C-SE-DE-03,senior-data-engineer,DE,unknown
C-SE-DE-04,senior-data-engineer,DE,eu_citizen
C-FR-USA-00,frontend-engineer,USA,us_citizen
C-FR-USA-01,frontend-engineer,USA,green_card
C-FR-USA-02,frontend-engineer,USA,h1b
C-FR-USA-03,frontend-engineer,USA,us_citizen
C-FR-USA-04,frontend-engineer,USA,unknown
C-FR-DE-00,frontend-engineer,DE,eu_citizen
C-FR-DE-01,frontend-engineer,DE,blue_card
C-FR-DE-02,frontend-engineer,DE,eu_citizen
C-FR-DE-03,frontend-engineer,DE,unknown
C-FR-DE-04,frontend-engineer,DE,eu_citizen
C-CR-USA-00,creative-director,USA,us_citizen
C-CR-USA-01,creative-director,USA,green_card
C-CR-USA-02,creative-director,USA,h1b
C-CR-USA-03,creative-director,USA,us_citizen
C-CR-USA-04,creative-director,USA,unknown
C-CR-DE-00,creative-director,DE,eu_citizen
C-CR-DE-01,creative-director,DE,blue_card
C-CR-DE-02,creative-director,DE,eu_citizen
C-CR-DE-03,creative-director,DE,unknown
C-CR-DE-04,creative-director,DE,eu_citizen
C-ME-USA-00,media-strategist,USA,us_citizen
C-ME-USA-01,media-strategist,USA,green_card
C-ME-USA-02,media-strategist,USA,h1b
C-ME-USA-03,media-strategist,USA,us_citizen
C-ME-USA-04,media-strategist,USA,unknown
C-ME-DE-00,media-strategist,DE,eu_citizen
C-ME-DE-01,media-strategist,DE,blue_card
C-ME-DE-02,media-strategist,DE,eu_citizen
C-ME-DE-03,media-strategist,DE,unknown
C-ME-DE-04,media-strategist,DE,eu_citizen
C-WE-USA-00,werkstudent-frontend,USA,us_citizen
C-WE-USA-01,werkstudent-frontend,USA,green_card
C-WE-USA-02,werkstudent-frontend,USA,h1b
C-WE-USA-03,werkstudent-frontend,USA,us_citizen
C-WE-USA-04,werkstudent-frontend,USA,unknown
C-WE-DE-00,werkstudent-frontend,DE,eu_citizen
C-WE-DE-01,werkstudent-frontend,DE,blue_card
C-WE-DE-02,werkstudent-frontend,DE,eu_citizen
C-WE-DE-03,werkstudent-frontend,DE,unknown
C-WE-DE-04,werkstudent-frontend,DE,eu_citizen
