Ref,Section,Subsection,Question,MoSCoW,Status,Response,Key Technologies,POC Demo,Reference
8.1,Governance & Oversight,Model Registry,Does the platform maintain a centralised catalogue of approved models? Describe the registry.,Must,Can do today,"Yes. Foundry Control Plane provides a centralised model registry with the full Foundry model catalog (1900+ models). Administrators control which models are available per project. APIM AI Gateway adds a governance layer: model routing policies define which models are accessible, with load balancing, failover, token limits, and cost tracking per model. The combination provides: catalogue of approved models (Foundry), governed access and usage policies (APIM), and cost/usage visibility (APIM metrics + OTEL telemetry). Models are selectable per skill — cheap models for triage tasks, frontier models for high-value reasoning — all governed centrally.","Foundry model catalog, APIM AI Gateway model routing, Foundry Control Plane",POC1: Show model registry in Foundry with APIM governance policies controlling access.,https://learn.microsoft.com/en-us/azure/foundry/concepts/foundry-models-overview | https://learn.microsoft.com/en-us/azure/api-management/genai-gateway-capabilities
8.2,Governance & Oversight,Model Registry,"Can you define and enforce metadata per model: training set provenance, data cutoff dates, licensing (FOSS vs proprietary), parameter counts?",Should,Can do today,"Foundry model catalog includes metadata per model: provider, version, licensing terms, parameter counts, capabilities, and supported regions. APIM AI Gateway policies can enforce constraints based on model metadata — e.g. restrict proprietary models to production environments only, or enforce region constraints (EU-only models for GDPR workflows). Model versioning in Foundry prevents silent updates: specific model versions are pinned in skill configurations and APIM routing policies. Training set provenance and data cutoff dates are available where model providers publish them, surfaced in the Foundry catalog.","Foundry model catalog metadata, APIM policy enforcement",N/A,https://learn.microsoft.com/en-us/azure/foundry/concepts/foundry-models-overview
8.3,Governance & Oversight,Model Registry,Does the registry support model versioning to prevent silent updates from breaking agent behaviour?,Should,Can do today,"Yes. Model versions are pinned at two levels. (1) Skill-level: each SKILL.md can specify the model version it requires. (2) APIM-level: model routing policies reference specific model deployment versions. Model updates require explicit promotion through the CI/CD pipeline — a new model version is deployed as a separate endpoint, tested via Foundry Evaluators, and promoted only after passing quality gates. APIM supports blue-green model deployments: route a percentage of traffic to the new model version, compare quality metrics, and switch fully only after validation. Silent updates from model providers are prevented because we deploy specific model versions to Azure OpenAI endpoints, not floating latest versions.","Foundry model deployments, APIM blue-green routing, skill model pinning",N/A,https://learn.microsoft.com/en-us/azure/api-management/backends
8.4,Governance & Oversight,Model Registry,"Can administrators restrict model access by user group, agent sensitivity, or deployment environment? How do you prevent shadow AI (developers connecting to unapproved endpoints)?",Should,Can do today,APIM AI Gateway is the single entry point for all model calls. No agent can bypass APIM to reach a model endpoint directly — network-level enforcement ensures all traffic routes through the gateway. Administrators restrict access by: (1) Agent identity — Entra RBAC scopes which models each Hosted Agent can access. (2) Environment — separate APIM configurations for dev/staging/production with different model allowlists. (3) Sensitivity — APIM policies can restrict frontier models to high-sensitivity workflows only. Shadow AI prevention: APIM is the only route to model endpoints. Direct endpoint access is blocked at the network level via Azure Private Endpoints and NSGs. All model calls are logged and auditable. Foundry Control Plane surfaces unauthorised access attempts.,"APIM AI Gateway (single entry point), Entra RBAC, Azure Private Endpoints, Foundry Control Plane",N/A,https://learn.microsoft.com/en-us/azure/api-management/genai-gateway-capabilities
8.5,Governance & Oversight,Agent Registry,"Does the platform maintain a centralised catalogue of approved agents, including use-cases and risk levels?",Must,Can do today,"Yes. Two complementary registries. (1) Foundry Control Plane: provides a centralised agent inventory across all platforms (Foundry-native, custom, external) with lifecycle operations, risk classification, and compliance posture. (2) Azure API Center: registers skills with metadata — capabilities, allowed tools, risk level, lifecycle stage (Design/Preview/Production/Deprecated), version history. Since our architecture uses skills as the unit of capability rather than separate agents, the skill registry in API Center IS the functional agent registry — each skill represents a specialised capability (screening, sourcing, compliance, offer generation) with its own metadata and governance. Agent 365 adds another layer: agent registration in the M365 admin center with Entra Agent ID, Purview, and Defender integration.","Foundry Control Plane, Azure API Center, Agent 365",POC1: Show skill registry in API Center with lifecycle states and risk levels.,https://learn.microsoft.com/en-us/azure/foundry/control-plane/how-to-manage-agents | https://learn.microsoft.com/en-us/azure/api-center/key-concepts | https://learn.microsoft.com/en-us/microsoft-agent-365/overview
8.6,Governance & Oversight,Agent Registry,"Can you define and enforce metadata per agent: capabilities, knowledge sources, tools employed, risk level?",Should,Can do today,"Yes. Each skill registered in Azure API Center carries enforced metadata: declared capabilities (what the skill does), allowed tools (which MCP servers it can invoke — enforced by GHCP SDK hooks), knowledge sources (which data stores it can access), risk level (determines HITL requirements and autonomy thresholds), lifecycle stage, and version. APIM policies enforce tool access per skill — a skill cannot invoke an MCP tool it has not declared. GHCP SDK session hooks enforce the tool allowlist at runtime: if a skill attempts to call an undeclared tool, the hook blocks it and logs the violation. Agent 365 extends this with Purview-enforced data classification and Defender threat detection per agent identity.","Azure API Center skill metadata, GHCP SDK hooks (tool allowlisting), APIM policy enforcement, Agent 365",N/A,https://learn.microsoft.com/en-us/azure/api-center/key-concepts
8.7,Governance & Oversight,Agent Registry,Does the registry support agent versioning to support lifecycle management (dev to prod)?,Should,Can do today,"Yes. Azure API Center provides full lifecycle management for skills: Design -> Preview -> Production -> Deprecated. Each version is immutable once promoted. Version history is maintained with author, timestamp, and change description. Promotion between stages requires approval gates configured in the CI/CD pipeline. Skills are Git-synced — API Center integrates with GitHub Actions workflows for syncing SKILL.md files from repositories, so version control is native to the development workflow. Rollback is supported by promoting a previous version. Concurrent versions can run in different environments (v2 in staging, v1 in production) with environment-specific APIM routing.","Azure API Center lifecycle management, Git sync, CI/CD approval gates",N/A,https://learn.microsoft.com/en-us/azure/api-center/key-concepts
8.8,Governance & Oversight,Agent Registry,"Can administrators restrict agent access by user group, sensitivity, or deployment environment?",Should,Can do today,"Yes. Access restriction operates at multiple levels. (1) Entra RBAC: Hosted Agent containers have scoped Entra Agent IDs — the Hiring Agent and Finance Agent have separate identities with different tool access. (2) API Center lifecycle: skills in Design/Preview stages are not accessible in production environments. (3) APIM policies: per-environment, per-agent routing and access control. (4) Agent 365: administrators manage agent visibility and access in the M365 admin center — restrict which users can interact with which agents. (5) Control Plane UI: role-based views filter which workflows and capabilities are visible to each operator role. Conditional Access policies on agent identities enforce environment and compliance constraints.","Entra Agent ID + RBAC, API Center lifecycle gates, APIM per-environment policies, Agent 365 admin","POC2: Show HR BP seeing only hiring workflows, Finance BP seeing only budget gates in Control Plane.",https://learn.microsoft.com/en-us/entra/identity/conditional-access/agent-id | https://learn.microsoft.com/en-us/microsoft-365/admin/manage/agent-registry
8.9,Governance & Oversight,Continual Evaluation,"Can the platform continually monitor third-party models for bias, drift, and robustness; generating alerts when test conditions fail?",Should,Can do today,"Yes. Foundry Evaluators run continuous evaluation on production traffic measuring: task adherence (is the agent doing what it should), tool call accuracy, safety, groundedness, and sensitive data exposure. Custom evaluators can be configured for bias detection and domain-specific quality metrics. APIM AI Gateway tracks per-model metrics: latency, error rates, token usage, cost — anomalies trigger alerts. The Fleet Manager agent consumes telemetry from Foundry Evaluators and APIM metrics, reasoning about fleet-wide quality trends. When evaluation scores drift below thresholds, the Fleet Manager surfaces alerts on the Control Plane with recommended actions (revert model version, adjust routing, increase HITL oversight). Azure Monitor and Application Insights provide the alerting infrastructure.","Foundry Evaluators, APIM AI Gateway metrics, Fleet Manager agent, Azure Monitor",POC2: Show Foundry Evaluator running on CV screening output — detecting quality drift and alerting on Control Plane.,https://learn.microsoft.com/en-us/azure/foundry/concepts/observability | https://learn.microsoft.com/en-us/azure/foundry/concepts/built-in-evaluators
8.10,Governance & Oversight,Agent Identity,"How do you establish, authenticate, and manage the lifecycle of an agent's identity, including permissions, roles, and access controls?",Must,Can do today,"Entra Agent ID (part of Agent 365) establishes agents as first-class identities in Microsoft Entra ID. Each Hosted Agent container has a dedicated Entra Agent ID (e.g. hiring-agent@wpp, finance-agent@wpp, fleet-manager@wpp). The identity is domain-scoped: the Hiring Agent's identity grants access to Greenhouse, LinkedIn, Workday (hiring), Graph, and ACS — not finance systems. Lifecycle management: Agent 365 manages from creation to retirement with responsible person oversight throughout. Permissions: Azure RBAC scopes tool access per agent identity. OBO flows: when a human triggers an action, the agentic loop can act on-behalf-of that human — audit trail attributes the decision to them, downstream access uses their delegated permissions. For autonomous phases, the loop uses the Hosted Agent's app-only identity. Conditional Access policies apply to agent identities just as they do to human identities.","Entra Agent ID, Agent 365 lifecycle management, Azure RBAC, OBO flows",POC2: Show distinct agent identities in Entra with scoped permissions — Hiring Agent accessing only HR systems.,https://learn.microsoft.com/en-us/entra/agent-id/identity-professional/microsoft-entra-agent-identities-for-ai-agents | https://learn.microsoft.com/en-us/entra/agent-id/identity-platform/agent-on-behalf-of-oauth-flow | https://learn.microsoft.com/en-us/microsoft-agent-365/overview
